WISC5.ScaledSum,WISC5.GAI,source
5,40,Keri Rosch
6,44,Keri Rosch
7,47,Keri Rosch
8,49,Keri Rosch
9,51,Keri Rosch
10,53,Keri Rosch
11,54,Keri Rosch
12,55,Keri Rosch
13,56,Keri Rosch
14,57,Keri Rosch
15,59,Keri Rosch
16,60,Keri Rosch
17,61,Keri Rosch
18,62,Keri Rosch
19,63,Keri Rosch
20,64,Keri Rosch
21,65,Keri Rosch
22,66,Keri Rosch
23,67,Keri Rosch
24,68,Keri Rosch
25,69,Keri Rosch
26,70,Keri Rosch
27,71,Keri Rosch
28,72,Keri Rosch
29,73,Keri Rosch
30,74,Keri Rosch
31,75,Keri Rosch
32,76,Keri Rosch
33,77,Keri Rosch
34,78,Keri Rosch
35,79,Keri Rosch
36,81,Keri Rosch
37,82,Keri Rosch
38,83,Keri Rosch
39,85,Keri Rosch
40,86,Keri Rosch
41,87,Keri Rosch
42,89,Keri Rosch
43,91,Keri Rosch
44,92,Keri Rosch
45,94,Keri Rosch
46,95,Keri Rosch
47,97,Keri Rosch
48,98,Keri Rosch
49,99,Keri Rosch
50,100,Keri Rosch
51,101,Keri Rosch
52,103,Keri Rosch
53,104,Keri Rosch
54,105,Keri Rosch
55,107,Keri Rosch
56,108,Keri Rosch
57,109,Keri Rosch
58,111,Keri Rosch
59,112,Keri Rosch
60,113,Keri Rosch
61,115,Keri Rosch
62,116,Keri Rosch
63,117,Keri Rosch
64,118,Keri Rosch
65,120,Keri Rosch
66,121,Keri Rosch
67,123,Keri Rosch
68,124,Keri Rosch
69,125,Keri Rosch
70,126,Keri Rosch
71,127,Keri Rosch
72,128,Keri Rosch
73,129,Keri Rosch
74,130,Keri Rosch
75,132,Keri Rosch
76,133,Keri Rosch
77,134,Keri Rosch
78,136,Keri Rosch
79,137,Keri Rosch
80,138,Keri Rosch
81,140,Keri Rosch
82,141,Keri Rosch
83,143,Keri Rosch
84,144,Keri Rosch
85,145,Keri Rosch
86,147,Keri Rosch
87,148,Keri Rosch
88,149,Keri Rosch
89,151,Keri Rosch
90,152,Keri Rosch
91,154,Keri Rosch
92,155,Keri Rosch
93,157,Keri Rosch
94,158,Keri Rosch
95,160,Keri Rosch
NA,NA,MB
