WISC4.ScaledSum,WISC4.GAI
6,40
7,40
8,40
9,40
10,40
11,40
12,41
13,42
14,43
15,44
16,45
17,46
18,47
19,49
20,51
21,52
22,53
23,55
24,57
25,58
26,59
27,61
28,63
29,64
30,65
31,67
32,69
33,70
34,71
35,73
36,74
37,75
38,77
39,78
40,79
41,81
42,82
43,83
44,84
45,85
46,86
47,87
48,88
49,89
50,90
51,91
52,92
53,93
54,94
55,95
56,96
57,97
58,98
59,99
60,100
61,101
62,102
63,103
64,104
65,105
66,106
67,107
68,108
69,110
70,111
71,112
72,113
73,115
74,116
75,117
76,119
77,120
78,121
79,122
80,123
81,124
82,126
83,127
84,128
85,129
86,130
87,132
88,133
89,135
90,136
91,138
92,139
93,140
94,142
95,143
96,144
97,146
98,147
99,148
100,150
101,151
102,153
103,154
104,155
105,156
106,157
107,158
108,159
109,160
110,160
111,160
112,160
113,160
114,160
NA,NA
